subject	gamma
1	2.9785596198835154
2	2.7079265979987595
3	1.8182307811078764
4	2.106311759796961
5	2.7379858110138486
6	2.703237425533239
7	2.2700300244226677
8	0.29406361330316017
9	2.117554522637873
10	2.5413204283030573
11	1.8187406198223395
12	2.444352229780466
13	1.74073842844368
14	1.7590799871252023
16	2.7295111058850487
17	1.5132196081656457
18	2.0314917367480603
19	1.5782653327455893
21	1.549689952019654
22	2.7892367979934645
23	2.1574658875632164
24	2.0163337462898476
25	2.795887963403545
26	2.758798761023047
27	2.5742300526520445
28	1.3806579602936186
29	2.4767017661750437
30	1.3007575236256406
31	2.7769291505568976
33	1.0947306655356477
34	2.2887617130909854
35	1.432195515843453
36	2.2516615836770564
37	2.2807844939466175
38	2.354839080494727
39	2.242766616474657
40	2.1048118329210075
41	2.4331885452282944
42	1.7456748274861085
43	2.9848659699452686
44	1.7920827291616792
45	2.5233118017579605
46	1.651115416626138
47	1.9313770289490098
48	1.9433843488772395
55	2.374769809229114
56	2.118976028835234
57	2.003549119919282
58	1.6567195677083386
59	2.0692909124844845
101	2.3915135168050523
116	2.071787532448738
130	1.934266542501728
141	2.062591587379992
150	1.012316914621129
152	2.5202923943507622
163	2.9596025185976558
165	3.166362457484208
