SUBID,slot,rank_decode,condition
1,3,1,0
2,1,2,0
3,3,2,1
4,1,1,1
5,3,2,0
9,1,1,0
10,3,4,0
12,4,4,0
13,4,3,1
14,4,2,1
16,4,1,0
17,4,1,0
18,1,2,1
19,4,3,0
21,4,2,0
22,4,2,0
23,3,2,1
24,1,1,1
25,3,3,1
26,3,1,0
28,1,1,0
30,1,2,1
31,3,1,1
33,1,3,1
34,2,1,1
35,3,1,1
36,4,4,1
37,4,1,1
38,3,1,0
39,3,2,0
40,3,2,0
41,2,1,1
42,2,2,1
43,2,1,1
44,2,2,0
45,2,1,1
46,2,1,0
47,4,1,0
48,1,1,1
55,3,1,0
56,1,1,
57,2,2,1
58,2,1,1
59,2,1,0
116,3,3,0
130,4,1,1
141,2,1,0
150,2,1,0
152,4,1,1
163,1,1,0
165,3,1,1
