trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
1	0.07077879999997094	stim	0		46	5.376491799999712	0.7530096999998932
1	0.8073680999996213	response	0	space		6.113081099999363	
0	0.8237884999998641	stim	0		223	6.129501499999606	3.720111999999972
0	1.825073699999848	response	0	t		7.1307866999995895	
0	2.158622599999944	response	0	t		7.464335599999686	
0	2.55896919999941	response	0	t		7.864682199999152	
0	2.9259748999993462	response	0	t		8.231687899999088	
0	3.5264882000001307	response	0	r		8.832201199999872	
0	3.5266020999997636	response	0	t		8.832315099999505	
0	4.527774999999565	pulse	0	5		9.833487999999306	
0	4.543900499999836	stim	1		43	9.849613499999577	0.7173522000002777
0	4.727592899999763	pulse	1	5		10.033305899999505	
0	4.96188279999933	pulse	1	5		10.267595799999071	
0	5.244740799999818	pulse	1	5		10.55045379999956	
0	5.261252700000114	stim	2		41	10.566965699999855	0.6839509999999791
0	5.561832299999878	pulse	2	5		10.86754529999962	
0	5.928796600000169	pulse	2	5		11.23450959999991	
0	5.945203700000093	stim	3		43	11.250916699999834	0.7174323999997796
0	6.278991600000154	pulse	3	5		11.584704599999895	
0	6.646068199999718	pulse	3	5		11.95178119999946	
0	6.662636099999872	stim	0		225	11.968349099999614	3.7700261999998474
