subject	session	rnp	group
1	1	0.6002596812347255	0.0
1	2	0.6001105335145343	0.0
2	1	0.5456796014632813	0.0
2	2	0.6840075692074615	0.0
3	1	0.5216143190600144	1.0
3	2	0.6768508045239444	1.0
4	1	0.40714373208047283	1.0
4	2	0.5149544978402126	1.0
5	1	0.5670507463472274	0.0
5	2	0.6264273132215517	0.0
9	1	0.5170953381509196	0.0
9	2	0.46123184301958897	0.0
10	1	0.517225797162242	0.0
10	2	0.5004562111124752	0.0
12	1	0.4683108380961717	0.0
12	2	0.4705767791836845	0.0
13	1	0.35675101046925284	1.0
13	2	0.26902278469824886	1.0
14	1	0.3026899667214131	1.0
14	2	0.24856161824219103	1.0
16	1	0.4762714869613239	0.0
16	2	0.5367898833533761	0.0
17	1	0.2943408248033326	0.0
17	2	0.5226885888328182	0.0
18	1	0.41529350671838167	1.0
18	2	0.43464822996973057	1.0
19	1	0.3438303722526427	0.0
19	2	0.33550182966314035	0.0
21	1	0.4072734224118186	0.0
21	2	0.44205058313486384	0.0
22	1	0.6533131606901892	0.0
22	2	0.4655463538220757	0.0
23	1	0.5495920383188706	1.0
23	2	0.6144970044387972	1.0
24	1	0.5273448907723268	1.0
24	2	0.5411933021781996	1.0
25	1	0.5959332877583328	1.0
25	2	0.7560982010268146	1.0
26	1	0.5507229303351064	0.0
26	2	0.6204534749305545	0.0
28	1	0.4219214160230541	0.0
28	2	0.7345520668253248	0.0
30	1	0.4221150819449335	1.0
30	2	0.16231657466499277	1.0
31	1	0.6696476379583188	1.0
31	2	0.7391300955712703	1.0
32	1	0.41286481096614175	0.0
32	2	0.5173499231408085	0.0
34	1	0.5264933478081797	1.0
34	2	0.506393854804649	1.0
35	1	0.2879425279848746	1.0
35	2	0.5375444164912744	1.0
36	1	0.600024787827541	1.0
36	2	0.44787407769543297	1.0
37	1	0.4553328239975881	1.0
37	2	0.49677650778061566	1.0
38	1	0.5243903387222512	0.0
38	2	0.5767334081882792	0.0
39	1	0.4380540232882005	0.0
39	2	0.5331338209893529	0.0
40	1	0.5351388414660478	0.0
40	2	0.5638149933352768	0.0
41	1	0.484630903904072	1.0
41	2	0.4995134688766461	1.0
42	1	0.47229725827427876	1.0
42	2	0.5956200249401808	1.0
43	1	0.6712254378329244	1.0
43	2	0.7408236676041875	1.0
44	1	0.5753745354106939	0.0
44	2	0.5709174370765504	0.0
45	1	0.6464072130678667	1.0
45	2	0.6998023464510839	1.0
46	1	0.3843900946473966	0.0
46	2	0.3682050360371453	0.0
47	1	0.6473820613717101	0.0
47	2	0.7819997032062659	0.0
48	1	0.4777038980132237	1.0
48	2	0.4211853662126021	1.0
49	1	0.20278446860407842	1.0
49	2	0.4974693377820756	1.0
50	1	0.45485351146198805	0.0
50	2	0.38042772480746895	0.0
51	1	0.5130406017037547	1.0
51	2	0.6229026141108086	1.0
52	1	0.6454708782487418	1.0
52	2	0.4958146343003178	1.0
53	1	0.39312795374890647	0.0
53	2	0.4934872272069344	0.0
54	1	0.5494520057519512	1.0
54	2	0.9648261163343734	1.0
55	1	0.4796059692901435	0.0
55	2	0.5454944938762084	0.0
57	1	0.4124418653561935	1.0
57	2	0.5019231655503026	1.0
58	1	0.3591161044061911	1.0
58	2	0.48338864933056885	1.0
59	1	0.38750667569375224	0.0
59	2	0.464294973303786	0.0
61	1	0.5838167674348874	0.0
61	2	0.6116695651993476	0.0
