subject,session,r
1,1,0.06168645886514134
1,2,0.10481116879035632
2,1,0.0131857257761599
2,2,-0.024391704986876886
3,1,0.03722389414149538
3,2,0.07982018082129547
4,1,0.10600297428484479
4,2,0.04610083067321633
5,1,0.18982922651227163
5,2,0.10630939423141048
9,1,0.0015554174163203175
9,2,0.1133383741664427
10,1,0.010356496972038177
10,2,0.10801214839372476
12,1,0.014317632261208968
12,2,-0.05694672264274085
13,1,0.012014972648207452
13,2,0.04812829970417892
14,1,-0.11387743518901054
14,2,0.019612559268895192
16,1,0.19024616082082593
16,2,0.13781140167665218
17,1,-0.0005455975006347499
17,2,0.16945293997954303
18,1,0.1143834845146152
18,2,0.0976525082672566
19,1,0.12384284634483485
19,2,0.1992504765224662
21,1,0.0626263592233438
21,2,0.038577133950874094
22,1,0.08744499478608356
22,2,-0.007115547082404932
23,1,0.2030923984017312
23,2,0.04460061946333904
24,1,0.0667145009839714
24,2,0.17400374916405462
25,1,0.11210829256921216
25,2,-0.024001670813253426
26,1,0.05976557687621595
26,2,0.06937838382221662
28,1,0.016746489557548268
28,2,-0.07990701869852969
30,1,0.16087483181041862
30,2,-0.1728748803529302
31,1,-0.022786763524450568
31,2,-0.056263362732891176
32,1,-0.002613026386160497
32,2,0.15432598111176904
34,1,0.21228207316265008
34,2,-0.06775451864002573
35,1,0.18217607015552637
35,2,0.09119136440747162
36,1,0.014778499321213404
36,2,-0.09653846117064822
37,1,0.10587253383061643
37,2,0.012928819423992547
38,1,0.10525681593688375
38,2,0.05524928230062012
39,1,-0.07341269034705057
39,2,0.139033466814556
40,1,0.20302531602465568
40,2,0.1412393359644187
41,1,0.11301811145087555
41,2,-0.07576397570550232
42,1,-0.26416786879881965
42,2,-0.06658413306554838
43,1,0.11761015014529028
43,2,0.071289727193066
44,1,0.007919577912236454
44,2,-0.19675884088506884
45,1,0.24866340592920885
45,2,0.12189865464864236
46,1,-0.011530065886045398
46,2,0.21780136139725645
47,1,0.04390513752173651
47,2,0.07679162986690385
48,1,0.16850449822810473
48,2,0.3496112146963793
49,1,0.07146010434597089
49,2,0.045309405758165944
50,1,-0.013248155987714361
50,2,0.06869434873396268
51,1,-0.05149294847495004
51,2,0.043856322014836774
52,1,0.06879431665533434
52,2,0.04356655252213343
53,1,0.06335476789264978
53,2,0.0010837290248112488
54,1,-0.06353101327173956
54,2,0.17045267387723786
55,1,0.22849435382773955
55,2,0.26449979988143213
57,1,0.07215326436361552
57,2,0.18123868128201587
58,1,0.14374107716743584
58,2,0.1705202053050229
59,1,0.31314054522489687
59,2,0.14549957566289973
61,1,0.1447037669919147
61,2,0.10633235262454355
