run	p1	base number	fraction	repetition	p2	n1	n2	trial
5	0.55	14	1.4265582857960308	2	1.0	19	14	82
5	0.55	28	1.0	2	1.0	28	28	83
5	0.55	7	2.0350685427733097	2	1.0	14	7	84
5	0.55	20	2.0350685427733097	1	1.0	40	20	85
5	0.55	28	2.0350685427733097	2	1.0	56	28	86
5	0.55	14	1.7038614649836177	1	1.0	23	14	87
5	0.55	28	1.4265582857960308	2	1.0	39	28	88
5	0.55	7	1.0	1	1.0	7	7	89
5	0.55	28	1.4265582857960308	1	1.0	39	28	90
5	1.0	7	2.430657690720943	1	0.55	7	17	91
5	1.0	20	1.0	1	0.55	20	20	92
5	1.0	7	1.0	1	0.55	7	7	93
5	1.0	14	2.0350685427733097	2	0.55	14	28	94
5	1.0	7	1.1943861543889525	1	0.55	7	8	95
5	1.0	28	2.430657690720943	1	0.55	28	68	96
5	1.0	28	1.4265582857960308	1	0.55	28	39	97
5	1.0	7	1.7038614649836177	2	0.55	7	11	98
5	1.0	7	2.0350685427733097	1	0.55	7	14	99
5	1.0	14	1.7038614649836177	1	0.55	14	23	100
6	1.0	7	2.430657690720943	2	0.55	7	17	101
6	1.0	7	1.4265582857960308	1	0.55	7	9	102
6	1.0	14	2.0350685427733097	1	0.55	14	28	103
6	1.0	10	1.4265582857960308	2	0.55	10	14	104
6	1.0	28	1.0	1	0.55	28	28	105
6	1.0	20	1.1943861543889525	2	0.55	20	23	106
6	1.0	7	1.7038614649836177	1	0.55	7	11	107
6	1.0	10	1.4265582857960308	1	0.55	10	14	108
6	1.0	20	1.7038614649836177	1	0.55	20	34	109
6	1.0	28	1.1943861543889525	1	0.55	28	33	110
6	0.55	10	1.1943861543889525	2	1.0	11	10	111
6	0.55	20	2.430657690720943	1	1.0	48	20	112
6	0.55	28	2.430657690720943	2	1.0	68	28	113
6	0.55	7	1.1943861543889525	2	1.0	8	7	114
6	0.55	14	2.0350685427733097	1	1.0	28	14	115
6	0.55	10	1.1943861543889525	1	1.0	11	10	116
6	0.55	7	2.0350685427733097	1	1.0	14	7	117
6	0.55	14	2.430657690720943	1	1.0	34	14	118
6	0.55	20	1.1943861543889525	1	1.0	23	20	119
6	0.55	20	1.4265582857960308	2	1.0	28	20	120
