run	p1	base number	fraction	repetition	p2	n1	n2	trial
1	0.55	10	1.4265582857960308	1	1.0	14	10	1
1	0.55	14	1.1943861543889525	1	1.0	16	14	2
1	0.55	7	1.1943861543889525	1	1.0	8	7	3
1	0.55	7	1.7038614649836177	2	1.0	11	7	4
1	0.55	28	1.0	1	1.0	28	28	5
1	0.55	20	1.7038614649836177	2	1.0	34	20	6
1	0.55	14	1.0	1	1.0	14	14	7
1	0.55	14	1.0	2	1.0	14	14	8
1	0.55	28	1.7038614649836177	2	1.0	47	28	9
1	0.55	14	1.4265582857960308	1	1.0	19	14	10
1	1.0	7	2.0350685427733097	2	0.55	7	14	11
1	1.0	10	1.1943861543889525	2	0.55	10	11	12
1	1.0	20	2.430657690720943	1	0.55	20	48	13
1	1.0	10	1.0	2	0.55	10	10	14
1	1.0	20	1.4265582857960308	2	0.55	20	28	15
1	1.0	14	1.0	1	0.55	14	14	16
1	1.0	28	1.7038614649836177	2	0.55	28	47	17
1	1.0	28	1.1943861543889525	2	0.55	28	33	18
1	1.0	28	2.430657690720943	2	0.55	28	68	19
1	1.0	10	1.7038614649836177	1	0.55	10	17	20
2	1.0	14	1.4265582857960308	2	0.55	14	19	21
2	1.0	10	1.7038614649836177	2	0.55	10	17	22
2	1.0	10	2.0350685427733097	1	0.55	10	20	23
2	1.0	10	1.0	1	0.55	10	10	24
2	1.0	20	1.4265582857960308	1	0.55	20	28	25
2	1.0	10	2.430657690720943	2	0.55	10	24	26
2	1.0	28	2.0350685427733097	1	0.55	28	56	27
2	1.0	10	1.1943861543889525	1	0.55	10	11	28
2	1.0	28	1.7038614649836177	1	0.55	28	47	29
2	1.0	20	1.1943861543889525	1	0.55	20	23	30
2	0.55	7	1.4265582857960308	1	1.0	9	7	31
2	0.55	7	1.0	2	1.0	7	7	32
2	0.55	20	1.0	1	1.0	20	20	33
2	0.55	28	1.1943861543889525	2	1.0	33	28	34
2	0.55	28	2.430657690720943	1	1.0	68	28	35
2	0.55	20	2.430657690720943	2	1.0	48	20	36
2	0.55	10	2.0350685427733097	2	1.0	20	10	37
2	0.55	7	2.430657690720943	1	1.0	17	7	38
2	0.55	7	2.430657690720943	2	1.0	17	7	39
2	0.55	14	2.0350685427733097	2	1.0	28	14	40
3	1.0	7	1.0	2	0.55	7	7	41
3	1.0	10	2.430657690720943	1	0.55	10	24	42
3	1.0	20	1.7038614649836177	2	0.55	20	34	43
3	1.0	14	1.1943861543889525	2	0.55	14	16	44
3	1.0	7	1.4265582857960308	2	0.55	7	9	45
3	1.0	20	1.0	2	0.55	20	20	46
3	1.0	7	1.1943861543889525	2	0.55	7	8	47
3	1.0	14	1.4265582857960308	1	0.55	14	19	48
3	1.0	14	2.430657690720943	2	0.55	14	34	49
3	1.0	20	2.430657690720943	2	0.55	20	48	50
3	0.55	14	2.430657690720943	2	1.0	34	14	51
3	0.55	7	1.7038614649836177	1	1.0	11	7	52
3	0.55	14	1.1943861543889525	2	1.0	16	14	53
3	0.55	10	1.7038614649836177	2	1.0	17	10	54
3	0.55	20	1.0	2	1.0	20	20	55
3	0.55	28	2.0350685427733097	1	1.0	56	28	56
3	0.55	28	1.7038614649836177	1	1.0	47	28	57
3	0.55	20	1.7038614649836177	1	1.0	34	20	58
3	0.55	10	2.430657690720943	2	1.0	24	10	59
3	0.55	28	1.1943861543889525	1	1.0	33	28	60
4	0.55	10	2.430657690720943	1	1.0	24	10	61
4	0.55	10	1.4265582857960308	2	1.0	14	10	62
4	0.55	14	1.7038614649836177	2	1.0	23	14	63
4	0.55	10	2.0350685427733097	1	1.0	20	10	64
4	0.55	10	1.7038614649836177	1	1.0	17	10	65
4	0.55	7	1.4265582857960308	2	1.0	9	7	66
4	0.55	20	1.1943861543889525	2	1.0	23	20	67
4	0.55	20	1.4265582857960308	1	1.0	28	20	68
4	0.55	20	2.0350685427733097	2	1.0	40	20	69
4	0.55	10	1.0	2	1.0	10	10	70
4	1.0	28	2.0350685427733097	2	0.55	28	56	71
4	1.0	14	1.7038614649836177	2	0.55	14	23	72
4	1.0	14	1.0	2	0.55	14	14	73
4	1.0	28	1.4265582857960308	2	0.55	28	39	74
4	1.0	28	1.0	2	0.55	28	28	75
4	1.0	20	2.0350685427733097	2	0.55	20	40	76
4	1.0	20	2.0350685427733097	1	0.55	20	40	77
4	1.0	14	2.430657690720943	1	0.55	14	34	78
4	1.0	14	1.1943861543889525	1	0.55	14	16	79
4	1.0	10	2.0350685427733097	2	0.55	10	20	80
5	0.55	10	1.0	1	1.0	10	10	81
